95	94	3735	98060
72	94	6424	182826
49	95	32452	946825
27	95	27544	810627
27	72	23664	691397
49	72	36713	1064265
49	27	26536	789268
73	72	3381	75155
82	87	9204	265915
89	87	10452	317558
84	87	12476	385036
89	82	4807	128208
84	82	10485	313857
83	87	11537	338790
83	89	7389	230628
86	84	2079	52222
88	86	16400	505769
85	86	30668	971345
82	86	10076	305623
88	82	21044	600348
85	82	30371	927398
85	88	19726	557803
89	85	27827	888522
58	85	13729	430897
4	85	16695	508227
3	85	22386	692161
59	58	3837	104064
4	58	23475	722777
3	58	23546	678581
88	58	18267	514099
15	59	16677	517403
3	4	6714	187018
15	88	25801	770395
16	15	4192	114006
90	16	28156	838437
61	90	21076	676982
3	61	16634	477556
12	4	21835	659485
12	3	19401	571288
10	3	17074	519159
10	61	12398	383699
10	12	5677	162656
5	10	2391	57346
8	5	1881	41190
8	12	6271	180574
9	10	3535	92155
90	49	24394	777015
99	49	35550	1112738
53	49	33840	985622
79	49	39339	1127240
99	90	23751	707206
16	99	5695	162818
54	99	23280	715920
54	16	25089	786125
44	53	22107	686667
44	79	24174	726393
55	54	3440	85929
44	55	20088	614255
26	55	7670	224111
26	44	12874	391945
55	79	20952	652072
9	5	2111	42711
9	8	1696	38918
9	61	14153	434841
6	9	6693	182288
14	6	13246	389636
13	14	3234	77811
11	14	6907	193249
9	14	18556	546931
11	13	5433	140327
60	11	9769	210937
61	60	24833	693374
90	60	28305	879306
90	27	17387	554998
11	73	30053	862363
13	73	33071	951620
60	73	31666	833604
7	14	9115	243992
7	6	6136	176134
55	53	31004	984234
16	32	26306	836293
16	31	27188	868369
70	84	11348	332638
70	86	10936	321467
70	32	8722	259519
70	71	5830	171389
47	29	5422	155815
28	29	10984	324968
28	97	5396	148247
28	26	17563	534359
96	44	14919	434476
96	97	4814	127268
47	71	20988	633901
47	55	23140	701903
47	26	19578	559005
32	47	23328	716746
46	31	3785	103850
45	47	7348	213118
45	46	8570	253133
84	2	16859	514162
87	2	24618	699353
84	48	21201	652855
87	36	14612	437495
36	37	5003	129016
36	48	9559	281063
37	48	9983	302339
1	37	15964	499965
23	37	20303	622932
25	37	24304	762044
0	48	12559	382893
25	1	8592	263292
0	1	4995	150361
25	0	8167	241230
23	25	15970	425829
20	25	17909	561374
20	23	9046	264982
22	23	13667	415254
24	23	14443	442691
22	20	7524	227291
24	20	11692	319291
24	22	4724	135359
21	22	12175	379794
21	24	14447	453591
70	2	17651	544919
80	2	7477	220934
80	48	10708	336729
80	0	12837	383864
80	81	11445	341357
80	47	14890	456022
81	47	16148	497495
30	47	13237	389917
30	28	10542	292255
43	28	12060	349357
69	28	14277	394020
43	30	13755	410268
69	30	12717	368293
42	43	4994	145875
69	42	3602	94551
67	69	6508	186296
98	67	13664	405123
76	67	7668	214092
76	98	12275	366423
81	35	9470	282397
30	35	6590	184226
35	33	3469	87816
34	33	2537	41049
35	66	5733	160104
34	66	5126	133205
30	66	6644	174569
68	66	6012	171610
30	68	9630	282132
78	20	15055	472590
78	25	11671	350505
81	25	13518	401299
50	25	13678	394450
50	78	5378	149359
52	78	12230	363195
81	50	22917	658777
51	50	5377	148625
51	52	4696	123311
81	51	25241	747903
91	52	9157	274915
91	51	11170	325774
98	50	14749	425145
98	91	17150	509673
98	34	9900	283423
34	50	22858	644340
76	68	10384	297587
74	76	11652	327268
18	76	14325	393798
75	74	6569	172721
40	74	4952	128266
40	75	6309	170165
40	39	2290	52191
18	40	3685	62185
91	18	6542	174991
92	91	6308	172060
19	40	6517	150394
19	75	4969	133024
63	67	10876	304480
65	63	8478	242044
76	63	11857	345483
62	65	8014	233832
74	65	14074	406027
64	62	9192	244622
17	62	6443	180834
57	64	4515	106600
74	64	10183	274278
17	64	7857	190079
40	57	8009	218114
40	57	8009	218114
77	17	5809	118662
38	17	5986	164685
93	17	11057	322529
38	77	3489	81914
56	38	4121	109295
41	38	9406	260302
93	38	10067	290278
62	38	9625	273148
93	56	6578	192099
41	56	9017	262927
61	16	38982	1204093
58	10	39706	1219914
58	70	28304	871139
